attraction_id,name,city,country,category,entry_fee,duration_hours,rating,description,opening_hours
1,Paris Castle,Paris,France,Historical,15,1.5,4.7,One of Paris's most visited historical destinations with stunning architecture.,9:00 AM - 6:00 PM
2,Paris Gallery,Paris,France,Museum,20,2.0,4.6,One of Paris's most visited museum destinations with stunning architecture.,9:30 AM - 6:30 PM
3,Paris Mosque,Paris,France,Religious,6,1.0,4.8,Experience the authentic culture and history of Paris at this renowned religious site.,9:00 AM - 6:00 PM
4,Paris Plaza,Paris,France,Landmark,19,2.0,4.1,A must-visit landmark landmark offering breathtaking views and cultural insights.,9:30 AM - 6:30 PM
5,Paris Souk,Paris,France,Shopping,0,4.0,4.3,A magnificent shopping attraction showcasing the rich heritage of Paris.,10:00 AM - 8:00 PM
6,Paris Cultural Center,Paris,France,Cultural,18,2.0,3.8,A magnificent cultural attraction showcasing the rich heritage of Paris.,9:30 AM - 6:30 PM
7,Paris Entertainment Center,Paris,France,Entertainment,27,1.0,4.7,A magnificent entertainment attraction showcasing the rich heritage of Paris.,9:00 AM - 6:00 PM
8,Paris Nature Center,Paris,France,Nature,10,3.5,4.0,Discover the fascinating nature treasures of Paris in this world-class venue.,9:00 AM - 6:00 PM
9,Paris Architecture Center,Paris,France,Architecture,17,3.5,4.0,A magnificent architecture attraction showcasing the rich heritage of Paris.,10:00 AM - 7:00 PM
10,Paris Market Center,Paris,France,Market,5,8.0,4.4,Experience the authentic culture and history of Paris at this renowned market site.,9:30 AM - 6:30 PM
11,Medieval Paris,Paris,France,Historical,15,3.0,4.5,One of Paris's most visited historical destinations with stunning architecture.,10:00 AM - 8:00 PM
12,Paris Gallery,Paris,France,Museum,22,4.0,4.4,One of Paris's most visited museum destinations with stunning architecture.,9:00 AM - 6:00 PM
13,Paris Temple,Paris,France,Religious,2,2.5,4.4,Experience the authentic culture and history of Paris at this renowned religious site.,10:00 AM - 8:00 PM
14,Paris Viewpoint,Paris,France,Landmark,16,4.0,4.4,Discover the fascinating landmark treasures of Paris in this world-class venue.,9:00 AM - 6:00 PM
15,Paris Bazaar,Paris,France,Shopping,0,2.0,3.6,A magnificent shopping attraction showcasing the rich heritage of Paris.,9:00 AM - 6:00 PM
16,Paris Cultural Center,Paris,France,Cultural,15,8.0,4.8,Experience the authentic culture and history of Paris at this renowned cultural site.,10:00 AM - 7:00 PM
17,Paris Entertainment Center,Paris,France,Entertainment,41,3.5,3.6,Experience the authentic culture and history of Paris at this renowned entertainment site.,9:30 AM - 6:30 PM
18,Paris Nature Center,Paris,France,Nature,15,5.0,4.1,One of Paris's most visited nature destinations with stunning architecture.,8:00 AM - 5:00 PM
