hotel_id,name,city,country,category,price_per_night,rating,amenities,address,availability
1,Regal Manor Paris,Paris,France,luxury,530,4.5,"WiFi,Wellness Center,Infinity Pool,Multiple Restaurants,Personal Trainer","344 Main St, Paris",True
2,Elite Resort Paris,Paris,France,luxury,673,4.5,"WiFi,Wellness Center,Infinity Pool,Multiple Restaurants,Personal Trainer","100 Main St, Paris",True
3,Imperial Suites Paris,Paris,France,luxury,432,4.5,"WiFi,Spa,Pool,Gym,Restaurant,Room Service,Concierge,Valet Parking","306 Plaza Blvd, Paris",False
4,Grand Palace Paris,Paris,France,luxury,440,4.7,"WiFi,Spa,Pool,Fine Dining,Butler Service,Limousine,Casino","905 Royal Rd, Paris",True
5,Royal Plaza Paris,Paris,France,luxury,522,4.6,"WiFi,Wellness Center,Infinity Pool,Multiple Restaurants,Personal Trainer","373 Plaza Blvd, Paris",True
6,Grand Palace Paris,Paris,France,luxury,580,4.8,"WiFi,Wellness Center,Infinity Pool,Multiple Restaurants,Personal Trainer","211 Plaza Blvd, Paris",True
7,Royal Plaza Paris,Paris,France,luxury,452,4.5,"WiFi,Wellness Center,Infinity Pool,Multiple Restaurants,Personal Trainer","446 Royal Rd, Paris",True
8,Metro Hotel Paris,Paris,France,mid-range,241,3.8,"WiFi,Pool,Gym,Restaurant,Parking,Business Center","205 Main St, Paris",True
9,Central Plaza Paris,Paris,France,mid-range,174,4.4,"WiFi,Pool,Restaurant,Laundry,24h Reception","150 Main St, Paris",True
10,Skyline Hotel Paris,Paris,France,mid-range,182,3.9,"WiFi,Fitness Center,Cafe,Meeting Rooms,Airport Shuttle","444 Central Ave, Paris",True
11,Metro Hotel Paris,Paris,France,mid-range,159,3.8,"WiFi,Fitness Center,Cafe,Meeting Rooms,Airport Shuttle","536 Plaza Blvd, Paris",False
12,Skyline Hotel Paris,Paris,France,mid-range,232,3.7,"WiFi,Pool,Gym,Restaurant,Parking,Business Center","860 Plaza Blvd, Paris",True
13,Boulevard Hotel Paris,Paris,France,mid-range,182,3.9,"WiFi,Pool,Gym,Restaurant,Parking,Business Center","104 Central Ave, Paris",False
14,Gateway Inn Paris,Paris,France,mid-range,208,3.8,"WiFi,Fitness Center,Cafe,Meeting Rooms,Airport Shuttle","578 Main St, Paris",True
15,Economy Stay Paris,Paris,France,budget,63,3.1,"WiFi,Luggage Storage,Tour Desk","863 Central Ave, Paris",True
16,Traveler Inn Paris,Paris,France,budget,91,3.2,"WiFi,Common Area,Basic Amenities","852 Royal Rd, Paris",True
